,job_title,job_location,job_duration,date_posted
75,Front End Software Engineer,DC-Washington-TWP Headquarters,Full time,2022-04-11
76,"Senior Front End Software Engineer, Live News Experience",DC-Washington-TWP Headquarters,Full time,2022-04-11
77,"Senior Front End Software Engineer, Reader Experience",DC-Washington-TWP Headquarters,Full time,2022-04-11
78,Senior Election Data Engineer,DC-Washington-TWP Headquarters,Full time,2022-04-11
79,"Senior Front End Software Engineer, Reader Experience",DC-Washington-TWP Headquarters,Full time,2022-04-11
80,Publication Design Specialist,VA-Springfield-TWP Plant,Full time,2022-04-11
81,Utility Mailer,VA-Springfield-TWP Plant,Part time,2022-04-11
82,"Senior Full Stack Engineer,  Subscriptions",DC-Washington-TWP Headquarters,Full time,2022-04-11
83,Back End Software Engineer - Subscriptions,DC-Washington-TWP Headquarters,Full time,2022-04-11
84,"Manager, Engineering",COLOMBIA- TWP Remote Office,Full time,2022-04-11
85,Utility Worker,VA-Springfield-TWP Plant,Full time,2022-04-11
86,Utility Mailer,VA-Springfield-TWP Plant,Part time,2022-04-11
87,"National Correspondent, Texas",TX-TWP Remote Office,Full time,2022-04-08
88,"Software Engineering Intern, Summer 2022",DC-Washington-TWP Headquarters,Full time,2022-04-08
89,Senior Technical Architect,IL-Chicago-TWP Engineering,Full time,2022-04-08
90,Principal Software Engineer,DC-Washington-TWP Headquarters,Full time,2022-04-08
91,Digital Marketing Specialist (Video),DC-Washington-TWP Headquarters,Full time,2022-04-07
92,"Manager, Financial Planning and Analysis",DC-Washington-TWP Headquarters,Full time,2022-04-07
93,Motion Graphics Reporters,DC-Washington-TWP Headquarters,Full time,2022-04-07
94,News Designer,DC-Washington-TWP Headquarters,Full time,2022-04-07
95,Standards Editor,DC-Washington-TWP Headquarters,Full time,2022-04-06
96,Standards Editor,DC-Washington-TWP Headquarters,Full time,2022-04-06
97,Data Engineer,DC-Washington-TWP Headquarters,Full time,2022-04-06
98,Client Service Manager,DC-Washington-TWP Headquarters,Full time,2022-04-05
99,Utility Mailer,VA-Springfield-TWP Plant,Part time,2022-04-05
100,Industrial Mechanic,VA-Springfield-TWP Plant,Full time,2022-04-05
101,Associate Brand Strategist,NY-New York TWPDC-Washington-TWP Headquarters,Full time,2022-04-04
102,Features Executive Editor,DC-Washington-TWP Headquarters,Full time,2022-04-04
103,"Senior Software Engineer, DevOps & Automation for Databases",Anywhere in U.S.,Full time,2022-04-01
104,Production Technician,DC-Washington-TWP Headquarters,Full time,2022-03-31
105,"Manager, QA Engineering",IL-Chicago-TWP Engineering,Full time,2022-03-30
106,"Senior Software Engineer, Application Security",Anywhere in U.S.,Full time,2022-03-29
107,"Brand Partnerships Lead, Next Generation",DC-Washington-TWP Headquarters,Full time,2022-03-29
108,Lead Data Scientist,DC-Washington-TWP Headquarters,Full time,2022-03-29
109,QA Engineer,DC-Washington-TWP Headquarters,Full time,2022-03-29
110,Service Journalism Editor,DC-Washington-TWP Headquarters,Full time,2022-03-28
111,Senior Application Security Engineer,Anywhere in U.S.,Full time,2022-03-24
112,Events Coordinator,DC-Washington-TWP Headquarters,Full time,2022-03-23
113,Senior Full Stack Software Engineer,IL-Chicago-TWP Engineering,Full time,2022-03-23
114,"Senior Software Engineer, Publishing Tools",DC-Washington-TWP Headquarters,Full time,2022-03-22
115,"Senior Full Stack Software Engineer, Platform Engineering Administration",Anywhere in U.S.IL-Chicago-TWP Engineering,Full time,2022-03-22
116,"Senior Software Engineer, Publishing Tools",DC-Washington-TWP Headquarters,Full time,2022-03-22
117,"Associate General Counsel, Privacy and Compliance",DC-Washington-TWP Headquarters,Full time,2022-03-22
118,Industrial Electrician,VA-Springfield-TWP Plant,Full time,2022-03-21
